"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6346","login test","normal-tests","2026-05-07","passed","2026-05-07","","pipeline\test.spec.js","",""
"","6896","valid login","normal-tests","2026-03-30","failed","2026-03-30","Login Tests","login\login.spec.js","",""
"","30404","OrangeHRM Multi User Workflow","normal-tests","2026-06-01","broken","2026-06-01","","adminandess.spec.js","",""
"","6456","valid login","normal-tests","2026-05-07","failed","2026-05-07","Login Tests","pipeline\login.spec.js","",""
"","1284","Flaky demo @flaky","flaky-tests","2026-05-07","passed","2026-05-07","","pipeline\Retrylogic.spec.js","",""
"","3547","User Registration","normal-tests","2026-03-30","failed","2026-03-30","","registration\registration.spec.js","",""
"","775","Flaky demo @flaky","flaky-tests","2026-03-30","passed","2026-03-30","","Retrylogic.spec.js","",""
"","5795","login test","normal-tests","2026-05-07","passed","2026-05-07","","pipeline\reg.spec.js","",""
"","7093","login test","normal-tests","2026-05-06","passed","2026-05-06","","test.spec.js","",""
"","6778","login test","normal-tests","2026-03-30","passed","2026-03-30","","reg.spec.js","",""
